Monitoring Location Name,Monitoring Location Type Name,Latitude,Longitude,Organization Formal Name
"UNNAMED TR TO CHESTER R NR MORGNEC, MD",Stream,-75.9688056,39.2562778,USGS Maryland Water Science Center
UNNMD TRIB TO CHESTER R AT TRAVILLA WRF NR MORGNEC,Stream,-75.9841667,39.2558333,USGS Maryland Water Science Center
"UNNAMED TR TO FOREMAN BR NR EWINGVILLE, MD",Stream,-75.9575556,39.2044444,USGS Maryland Water Science Center
"FOREMAN BR NR EWINGVILLE, MD",Stream,-75.9631944,39.2036667,USGS Maryland Water Science Center
"FOREMAN BRANCH AT EWINGVILLE, MD",Stream,-75.98272,39.2109432,USGS Maryland Water Science Center
"Big Elk Creek at Maple Grove, PA",Stream,-75.9207764,39.7623317,USGS Pennsylvania Water Science Center
"Big Elk Creek near Lewisville, PA",Stream,-75.8479951,39.7301107,USGS Pennsylvania Water Science Center
"North East Creek at Nottingham, PA",Stream,-76.0015833,39.74525,USGS Pennsylvania Water Science Center
"North East Creek near Nottingham, PA",Stream,-75.9983333,39.7219444,USGS Pennsylvania Water Science Center
"E Branch Hemlock Cr near Stevens Point, PA",Stream,-75.4908889,41.9618611,USGS Pennsylvania Water Science Center
"Susquehanna River near Great Bend, PA",Stream,-75.7421312,41.9634112,USGS Pennsylvania Water Science Center
"Fall Brook at Buckley Road near Franklin Forks, PA",Stream,-75.8684722,41.9071111,USGS Pennsylvania Water Science Center
"Choconut Creek near Choconut, PA",Stream,-76.0013889,41.9627778,USGS Pennsylvania Water Science Center
NANTICOKE CREEK AT AMES ROAD NEAR MAINE NY,Stream,-76.0394167,42.2154722,USGS New York Water Science Center
APALACHIN CREEK AT APALACHIN NY,Stream,-76.1488168,42.0622968,USGS New York Water Science Center
"Boone Run (Johnson Cr) near Blossburg, PA",Stream,-77.0788333,41.6749722,USGS Pennsylvania Water Science Center
"Tioga River near Mansfield, PA",Stream,-77.0802457,41.7970183,USGS Pennsylvania Water Science Center
"Tioga River at Tioga Junction, PA",Stream,-77.1152486,41.9525739,USGS Pennsylvania Water Science Center
"Cowanesque River at Elkland, PA",Stream,-77.3022014,41.9875728,USGS Pennsylvania Water Science Center
"Cowanesque River near Lawrenceville, PA",Stream,-77.1399724,41.9967405,USGS Pennsylvania Water Science Center
"NB Sugar Creek Trib near Columbia Cross Roads, PA",Stream,-76.8269019,41.8403522,USGS Pennsylvania Water Science Center
"Mill Creek near Wetona, PA",Stream,-76.6777778,41.8077222,USGS Pennsylvania Water Science Center
"Sugar Creek near North Towanda, PA",Stream,-76.5024434,41.781186,USGS Pennsylvania Water Science Center
"Susquehanna River at Towanda, PA",Stream,-76.4407743,41.7653528,USGS Pennsylvania Water Science Center
"Towanda Creek near Monroeton, PA",Stream,-76.4849432,41.7075751,USGS Pennsylvania Water Science Center
"Wysox Creek near Wysox, PA",Stream,-76.3829941,41.7861861,USGS Pennsylvania Water Science Center
"Wyalusing Creek near Wyalusing, PA",Stream,-76.2307661,41.6970198,USGS Pennsylvania Water Science Center
"Stony Brook near Kasson Brook, PA",Stream,-76.1612778,41.4677222,USGS Pennsylvania Water Science Center
"Tunkhannock Creek near Tunkhannock, PA",Stream,-75.8946417,41.5584101,USGS Pennsylvania Water Science Center
"Susquehanna River at Falls, PA",Stream,-75.8538073,41.4617443,USGS Pennsylvania Water Science Center
"Lackawanna River at Old Forge, PA",Stream,-75.744359,41.3592462,USGS Pennsylvania Water Science Center
"Susquehanna River near Hunlock Creek, PA",Stream,-76.0865935,41.1886937,USGS Pennsylvania Water Science Center
"Nescopeck Creek at Nescopeck, PA",Stream,-76.221045,41.0470293,USGS Pennsylvania Water Science Center
"Kitchen Creek at Ricketts Glen, PA",Stream,-76.2729906,41.2986923,USGS Pennsylvania Water Science Center
"Fishing Creek nr Bloomsburg, PA",Stream,-76.4758333,40.9936111,USGS Pennsylvania Water Science Center
"Susquehanna River at Danville, PA",Stream,-76.6191222,40.9581422,USGS Pennsylvania Water Science Center
"West Branch Susquehanna River at Bower, PA",Stream,-78.6769726,40.8970066,USGS Pennsylvania Water Science Center
"Unnamed Trib to Bradley Run at Cresson, PA",Stream,-78.5627778,40.4627778,USGS Pennsylvania Water Science Center
"Clearfield Creek at Dimeling, PA",Stream,-78.4058533,40.9717241,USGS Pennsylvania Water Science Center
"WB Susquehanna River at Karthaus, PA",Stream,-78.108896,41.1175591,USGS Pennsylvania Water Science Center
"Gifford Run above Mosqioto Creek near Karthaus, PA",Stream,-78.2413889,41.1734167,USGS Pennsylvania Water Science Center
"Mosquito Creek near Karthaus, PA",Stream,-78.1327855,41.1292259,USGS Pennsylvania Water Science Center
"Bark Camp Run near Winterburn, PA",Stream,-78.5773889,41.1784722,USGS Pennsylvania Water Science Center
"Hicks Run near Dents Run, PA",Stream,-78.2745278,41.3731944,USGS Pennsylvania Water Science Center
"Bennett Br Sinnemahoning Cr at Driftwood, PA",Stream,-78.1358388,41.3339512,USGS Pennsylvania Water Science Center
"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",Stream,-78.1969524,41.4133959,USGS Pennsylvania Water Science Center
"Right Branch Big Nelson Run near Costello, PA",Stream,-78.0058889,41.5773889,USGS Pennsylvania Water Science Center
"E Fork Sinnemahoning Run near Conrad, PA",Stream,-77.8805,41.6137778,USGS Pennsylvania Water Science Center
"East Fork Sinnemahoning at Wharton Township, PA",Stream,-77.9802778,41.5413889,USGS Pennsylvania Water Science Center
"Sinnemahoning Creek above mouth at Keating, PA",Stream,-77.9072168,41.2611754,USGS Pennsylvania Water Science Center
"Kettle Creek at Cross Fork, PA",Stream,-77.8258251,41.4758994,USGS Pennsylvania Water Science Center
"Kettle Creek near Westport, PA",Stream,-77.873882,41.3195095,USGS Pennsylvania Water Science Center
"Young Womans Creek near Renovo, PA",Stream,-77.6908191,41.3895117,USGS Pennsylvania Water Science Center
"Hyner Run near Hyner, PA",Stream,-77.6238611,41.3595833,USGS Pennsylvania Water Science Center
"Baker Run near Glen Union, PA",Stream,-77.6093889,41.2435,USGS Pennsylvania Water Science Center
"Spring Creek near Axemann, PA",Stream,-77.794168,40.8897833,USGS Pennsylvania Water Science Center
"Bald Eagle Creek near Milesburg, PA",Stream,-77.7427797,40.9753385,USGS Pennsylvania Water Science Center
"Bald Eagle Creek at Blanchard, PA",Stream,-77.6044379,41.0517313,USGS Pennsylvania Water Science Center
"Beech Creek at Monument, PA",Stream,-77.7022159,41.1117307,USGS Pennsylvania Water Science Center
"Beech Creek at Beech Creek, PA",Stream,-77.5913806,41.0747875,USGS Pennsylvania Water Science Center
"Unnamed Trib (Bucks Gap) near Eastville, PA",Stream,-77.1561111,41.0516667,USGS Pennsylvania Water Science Center
"Unnamed trib (Ohnmeiss Gap Run) near Eastville, PA",Stream,-77.1696389,41.0541667,USGS Pennsylvania Water Science Center
"Unnamed Trib (Green Gap) near Eastville, PA",Stream,-77.1825,41.0355556,USGS Pennsylvania Water Science Center
"Unnamed trib (Bressler Run) near Eastville, PA",Stream,-77.1971111,41.0506389,USGS Pennsylvania Water Science Center
"Unnamed trib (Carroll Run) near Eastville, PA",Stream,-77.2098889,41.04875,USGS Pennsylvania Water Science Center
"Fishing Creek at Eastville, PA",Stream,-77.2180833,41.0393056,USGS Pennsylvania Water Science Center
"Eastville Run near Eastville, PA",Stream,-77.2210833,41.0291111,USGS Pennsylvania Water Science Center
"Unnamed trib (Schwenks Gap Run) blw Eastville,PA",Stream,-77.2508056,41.0281389,USGS Pennsylvania Water Science Center
"Mill Creek at Loganton, PA",Stream,-77.3027222,41.0354722,USGS Pennsylvania Water Science Center
"Fishing CReek at Loganton, PA",Stream,-77.3105556,41.0275,USGS Pennsylvania Water Science Center
"Bull Run at Winter Road near Loganton, PA",Stream,-77.3280556,41.0115556,USGS Pennsylvania Water Science Center
"Unnamed trib (Greenburr Gap Run)nr Logan Mills,PA",Stream,-77.3558333,41.0053889,USGS Pennsylvania Water Science Center
"Fishing Creek at Logan Mills, PA",Stream,-77.3858333,41.0055556,USGS Pennsylvania Water Science Center
"Unnamed trib (Wolf Gap Run) at Logan Mills, PA",Stream,-77.3794167,41.0011944,USGS Pennsylvania Water Science Center
"Unnamed tr (Schreckengast Gp Rn) nr Logan Mills,PA",Stream,-77.3943333,40.9960833,USGS Pennsylvania Water Science Center
"Fishing Creek at Tylersville, PA",Stream,-77.4194444,40.9936111,USGS Pennsylvania Water Science Center
"Unnamed trib ( Bletz Hollow) near Tylersville, PA",Stream,-77.4326111,40.9876111,USGS Pennsylvania Water Science Center
"Unnamed trib (Conway Gap) near Lamar, PA",Stream,-77.4749167,40.9777778,USGS Pennsylvania Water Science Center
"Fishing Creek near Lamar, PA",Stream,-77.4830461,40.9803444,USGS Pennsylvania Water Science Center
"Unnamed trib (Little Kettle Cr) near Lamar, PA",Stream,-77.4810833,40.9793611,USGS Pennsylvania Water Science Center
"Unnamed Trib (Big Kettle Run) near Tylersville, PA",Stream,-77.4891667,40.9825,USGS Pennsylvania Water Science Center
"Fishing Creek near Cedar Springs, PA",Stream,-77.4774864,41.0753453,USGS Pennsylvania Water Science Center
"Bald Eagle Creek at Castanea, PA",Stream,-77.4355372,41.1247912,USGS Pennsylvania Water Science Center
"Sunken Branch near Galeton, PA",Stream,-77.8091944,41.6936389,USGS Pennsylvania Water Science Center
"West Branch Pine Creek at Germania Station, PA",Stream,-77.6980556,41.7122222,USGS Pennsylvania Water Science Center
"Painter Run near Ansonia, PA",Stream,-77.4976667,41.74125,USGS Pennsylvania Water Science Center
"Balwin Run (mid) bl Oak Ridge nr Niles Valley, PA",Stream,-77.318,41.8084722,USGS Pennsylvania Water Science Center
"Canada Run (Lower) near Wellsboro Junction, PA",Stream,-77.3766667,41.7888889,USGS Pennsylvania Water Science Center
"Straight Run (Lower) near Asaph, PA",Stream,-77.4033333,41.79,USGS Pennsylvania Water Science Center
"Straight Run, Site 1, at Marsh Creek, PA",Stream,-77.4019232,41.7847941,USGS Pennsylvania Water Science Center
"Babb Creek near Arnot, PA",Stream,-77.1952222,41.6548056,USGS Pennsylvania Water Science Center
"Dixie Run near Blackwell, PA",Stream,-77.3304444,41.5581389,USGS Pennsylvania Water Science Center
"Cedar Run above Buck Run near Cedar Run, PA",Stream,-77.5073611,41.6142222,USGS Pennsylvania Water Science Center
"Pine Creek at Cedar Run, PA",Stream,-77.4474798,41.5217359,USGS Pennsylvania Water Science Center
"Francis Branch, Slate Run near Slate Run, PA",Stream,-77.6157222,41.5527917,USGS Pennsylvania Water Science Center
"Sebring Branch, Mill Run near Cammal, PA",Stream,-77.4273889,41.4494444,USGS Pennsylvania Water Science Center
"Trout Run at Trout Run Road near Cammal, PA",Stream,-77.4785833,41.4021111,USGS Pennsylvania Water Science Center
"Brown's Run near Waterville, PA",Stream,-77.3999444,41.3420556,USGS Pennsylvania Water Science Center
"Blockhouse Creek near English Center, PA",Stream,-77.230809,41.4736834,USGS Pennsylvania Water Science Center
"Boone Run at Boone Road near Waterville, PA",Stream,-77.3626389,41.3540278,USGS Pennsylvania Water Science Center
"Dam Run near Waterville, PA",Stream,-77.3445833,41.3293611,USGS Pennsylvania Water Science Center
"Little Pine Creek at Waterville, PA",Stream,-77.3621978,41.3095156,USGS Pennsylvania Water Science Center
"Ramsey Run near Waterville, PA",Stream,-77.3248333,41.28675,USGS Pennsylvania Water Science Center
"Pine Creek bl L Pine Creek near Waterville, PA",Stream,-77.3241403,41.273683,USGS Pennsylvania Water Science Center
"WB Susquehanna River at Jersey Shore, PA",Stream,-77.2510812,41.2022951,USGS Pennsylvania Water Science Center
"Rock Run upstream of Lycoming Creek nr Ralston, PA",Stream,-76.9391667,41.5038889,USGS Pennsylvania Water Science Center
"Gray's Run near Fields Station, PA",Stream,-77.0198333,41.4515556,USGS Pennsylvania Water Science Center
"Lycoming Creek near Trout Run, PA",Stream,-77.0330238,41.4181318,USGS Pennsylvania Water Science Center
"Hagerman Run near Fields Station, PA",Stream,-77.0473056,41.4189722,USGS Pennsylvania Water Science Center
"Hoagland Run near Quiggleville, PA",Stream,-77.1305556,41.3288889,USGS Pennsylvania Water Science Center
"WB Susquehanna River at Williamsport, PA",Stream,-76.996634,41.2361899,USGS Pennsylvania Water Science Center
"Loyalsock Creek at Forksville, PA",Stream,-76.6896759,41.456188,USGS Pennsylvania Water Science Center
"Bear Creek near Butternut Grove, PA",Stream,-76.8446111,41.3561111,USGS Pennsylvania Water Science Center
"Wallis Run near Butternut Grove, PA",Stream,-76.9117222,41.3667778,USGS Pennsylvania Water Science Center
"Loyalsock Creek at Loyalsockville, PA",Stream,-76.9124638,41.3250784,USGS Pennsylvania Water Science Center
"Mill Creek near Montoursville, PA",Stream,-76.9075,41.2783333,USGS Pennsylvania Water Science Center
"Sugar Run near Hughesville, PA",Stream,-76.6955556,41.2358333,USGS Pennsylvania Water Science Center
"Beaver Run near Lairdsville, PA",Stream,-76.5977778,41.2444444,USGS Pennsylvania Water Science Center
"Big Run at Lairdsville, PA",Stream,-76.61,41.2322222,USGS Pennsylvania Water Science Center
"Deer Run at Lairdsville, PA",Stream,-76.6225,41.2236111,USGS Pennsylvania Water Science Center
"Jakes Run near Lairdsville, PA",Stream,-76.6308333,41.2191667,USGS Pennsylvania Water Science Center
"Muncy Creek near Muncy, PA",Stream,-76.7521806,41.207582,USGS Pennsylvania Water Science Center
"White Deer Creek at White Deer, PA",Stream,-76.8724636,41.0748057,USGS Pennsylvania Water Science Center
"West Branch Susquehanna River at Lewisburg, PA",Stream,-76.8763543,40.967585,USGS Pennsylvania Water Science Center
"Chillisquaque Creek near Potts Grove, PA",Stream,-76.8,40.9744444,USGS Pennsylvania Water Science Center
"Chillisquaque Creek at Chillisquaque, PA",Stream,-76.8544444,40.9405556,USGS Pennsylvania Water Science Center
"Susquehanna River above Dam at Sunbury, PA",Stream,-76.8024666,40.8528628,USGS Pennsylvania Water Science Center
"Laurel Run at Laurelton State Village, PA",Stream,-77.2035873,40.8939651,USGS Pennsylvania Water Science Center
"Penns Creek at Penns Creek, PA",Stream,-77.0483088,40.8667492,USGS Pennsylvania Water Science Center
"Middle Creek near Selinsgrove, PA",Stream,-76.8694171,40.7748069,USGS Pennsylvania Water Science Center
"West Branch Mahantango Creek at Mahantango, PA",Stream,-76.9433333,40.6477778,USGS Pennsylvania Water Science Center
"East Mahantango Creek near Dalmatia, PA",Stream,-76.9119198,40.6111959,USGS Pennsylvania Water Science Center
"Unnamed Trib to Blair Gap Run near Cresson, PA",Stream,-78.5431111,40.4521111,USGS Pennsylvania Water Science Center
"Blair Gap Run near Tunnelhill, PA",Stream,-78.5431389,40.4520833,USGS Pennsylvania Water Science Center
"Blair Gap Run near Cresson, PA",Stream,-78.5427778,40.4522222,USGS Pennsylvania Water Science Center
"Beaverdam Br Juniata River near Hollidaysburg, PA",Stream,-78.3638889,40.4305556,USGS Pennsylvania Water Science Center
"Frankstown Br Juniata River at Williamsburg, PA",Stream,-78.199732,40.4631283,USGS Pennsylvania Water Science Center
"Frankstown Br Juniata R at RR at Williamsburg, PA",Stream,-78.1869444,40.4719444,USGS Pennsylvania Water Science Center
"Clover Creek near Williamsburg, PA",Stream,-78.203621,40.428407,USGS Pennsylvania Water Science Center
"Little Juniata River at Spruce Creek, PA",Stream,-78.1405645,40.6125665,USGS Pennsylvania Water Science Center
"Spruce Creek at Spruce Creek, PA",Stream,-78.1327865,40.6147887,USGS Pennsylvania Water Science Center
"Bobs Creek below Wallacks Branch at Pavia, PA",Stream,-78.5908505,40.2628543,USGS Pennsylvania Water Science Center
"Raystown Branch Juniata River at Saxton, PA",Stream,-78.2652901,40.2159125,USGS Pennsylvania Water Science Center
"Aughwick Creek at Aughwick Mills, PA",Stream,-77.8597187,40.3348012,USGS Pennsylvania Water Science Center
"Kishacoquillas Creek at Reedsville, PA",Stream,-77.5830499,40.6547926,USGS Pennsylvania Water Science Center
"Juniata River at Newport, PA",Stream,-77.1291484,40.4784168,USGS Pennsylvania Water Science Center
"Sherman Creek at Shermans Dale, PA",Stream,-77.1688703,40.3234193,USGS Pennsylvania Water Science Center
"Muddy Run near Upper Strasburg, PA",Stream,-77.7084889,40.0335389,USGS Pennsylvania Water Science Center
"Big Spring Creek at Big Spring, PA",Spring,-77.4072075,40.129533,USGS Pennsylvania Water Science Center
"Conodoguinet Creek near Hogestown, PA",Stream,-77.0211111,40.2522222,USGS Pennsylvania Water Science Center
"Susquehanna River at Harrisburg, PA",Stream,-76.8860846,40.2548116,USGS Pennsylvania Water Science Center
"Paxton Creek near Glenwood, PA",Stream,-76.8555556,40.3061111,USGS Pennsylvania Water Science Center
"Yellow Breeches Creek at New Cumberland, PA",Stream,-76.8602506,40.224257,USGS Pennsylvania Water Science Center
"Quittapahilla Creek near Bellegrove, PA",Stream,-76.5618889,40.3426111,USGS Pennsylvania Water Science Center
"Swatara Creek near Hershey, PA",Stream,-76.6677469,40.2984236,USGS Pennsylvania Water Science Center
"Conewago Creek near Bellaire, PA",Stream,-76.5677778,40.1952778,USGS Pennsylvania Water Science Center
"Conewago Creek near Falmouth, PA",Stream,-76.68775,40.1493056,USGS Pennsylvania Water Science Center
"West Conewago Creek near Manchester, PA",Stream,-76.7180813,40.0809008,USGS Pennsylvania Water Science Center
"Codorus Creek near Saginaw, PA",Stream,-76.6544444,40.0522222,USGS Pennsylvania Water Science Center
"Chickies Creek at Hamaker Road at Manheim, PA",Stream,-76.390239,40.176761,USGS Pennsylvania Water Science Center
"Rife Run at West High Street at Manheim, PA",Stream,-76.4052398,40.1584281,USGS Pennsylvania Water Science Center
"Chickies Creek at Sunhill Rd at Sporting Hill, PA",Stream,-76.4096845,40.1481505,USGS Pennsylvania Water Science Center
"Chickies Creek near Marietta, PA",Stream,-76.5155214,40.0628745,USGS Pennsylvania Water Science Center
"Donegal Creek at Long Lane at Marietta, PA",Stream,-76.5249658,40.0567635,USGS Pennsylvania Water Science Center
"Susquehanna River at Marietta, PA",Stream,-76.5307992,40.0545413,USGS Pennsylvania Water Science Center
"Susquehanna River at Columbia, PA",Stream,-76.5177432,40.0284308,USGS Pennsylvania Water Science Center
"Big Spring Run ab Trib near Willow Street, PA",Stream,-76.2609306,39.9915444,USGS Pennsylvania Water Science Center
Unnamed Trib to Big Spring Run nr Willow Street PA,Stream,-76.2639528,39.9911917,USGS Pennsylvania Water Science Center
"Big Spring Run near Mylin Corners, PA",Stream,-76.2640389,39.9959361,USGS Pennsylvania Water Science Center
"Conestoga Creek nr Lancaster, PA",Stream,-76.3116263,39.9967654,USGS Pennsylvania Water Science Center
"Little Conestoga Creek at Rockhill, PA",Stream,-76.37135,39.9575995,USGS Pennsylvania Water Science Center
"Conestoga River at Conestoga, PA",Stream,-76.3677388,39.9464886,USGS Pennsylvania Water Science Center
"Pequea Creek near Ronks, PA",Stream,-76.1622222,40.0091667,USGS Pennsylvania Water Science Center
"Pequea Creek at Martic Forge, PA",Stream,-76.328293,39.9059341,USGS Pennsylvania Water Science Center
"Susquehanna River at Holtwood Dam at Holtwood, PA",Stream,-76.3332928,39.8278803,USGS Pennsylvania Water Science Center
"Muddy Creek at Castle Fin, PA",Stream,-76.3157919,39.7726038,USGS Pennsylvania Water Science Center
"SUSQUEHANNA RIVER AT CONOWINGO, MD",Stream,-76.1744444,39.6578889,USGS Maryland Water Science Center
"East Branch Octoraro Creek at Christiana, PA",Stream,-75.9935614,39.9492708,USGS Pennsylvania Water Science Center
"Valley Creek near Atglen, PA",Stream,-75.984672,39.9398268,USGS Pennsylvania Water Science Center
"EB Octoraro Creek near Steelville, PA",Stream,-75.9916154,39.8828836,USGS Pennsylvania Water Science Center
"Knight Run near Cochranville, PA",Stream,-75.9404722,39.9042778,USGS Pennsylvania Water Science Center
"Knight Run near Homeville, PA",Stream,-75.9855556,39.8811111,USGS Pennsylvania Water Science Center
"Rattlesnake Run at Glenville Road at Homeville, PA",Stream,-75.9730556,39.8614444,USGS Pennsylvania Water Science Center
"Muddy Run near Cream, PA",Stream,-76.0096704,39.8326068,USGS Pennsylvania Water Science Center
"Leech Run near Oxford, PA",Stream,-76.0086667,39.8051667,USGS Pennsylvania Water Science Center
"Leech Run at Mt. Vernon, PA",Stream,-76.0244444,39.8125,USGS Pennsylvania Water Science Center
"Tweed Creek at Tweedale near Oxford, PA",Stream,-76.038004,39.7981627,USGS Pennsylvania Water Science Center
"Blackburn Run at Glen Roy, PA",Stream,-76.0602267,39.774274,USGS Pennsylvania Water Science Center
"Black Run near Glen Roy, PA",Stream,-76.0841162,39.7564962,USGS Pennsylvania Water Science Center
"Octoraro Creek near Richardsmere, MD",Stream,-76.1152286,39.7067746,USGS Pennsylvania Water Science Center
"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",Stream,-76.15775,39.6260556,USGS Maryland Water Science Center
"SUSQUEHANNA RIVER AT LAPIDUM, MD",Stream,-76.1269444,39.6011111,USGS Maryland Water Science Center
"PLUMTREE RUN NEAR BEL AIR, MD",Stream,-76.3474444,39.4962778,USGS Maryland Water Science Center
"GUNPOWDER FALLS NEAR PARKTON, MD",Stream,-76.6903056,39.6188889,USGS Maryland Water Science Center
"FOSTER BRANCH NEAR JOPPATOWNE, MD",Stream,-76.3426389,39.4085278,USGS Maryland Water Science Center
"HERRING RUN AT SINCLAIR LANE AT BALTIMORE, MD",Stream,-76.5551306,39.3179639,USGS Maryland Water Science Center
"MOORES RUN TRIB. NEAR TODD AVE AT BALTIMORE, MD",Stream,-76.5406111,39.3366944,USGS Maryland Water Science Center
"PATAPSCO RIVER AT HOLLOFIELD, MD",Stream,-76.7924167,39.3103056,USGS Maryland Water Science Center
"PATAPSCO RIVER NEAR CATONSVILLE, MD",Stream,-76.7637778,39.25125,USGS Maryland Water Science Center
"PATAPSCO RIVER NEAR ELKRIDGE, MD",Stream,-76.723,39.2273333,USGS Maryland Water Science Center
"SCOTTS LEVEL BRANCH AT ROCKDALE, MD",Stream,-76.76175,39.3615833,USGS Maryland Water Science Center
"PATUXENT RIVER NEAR BOWIE, MD",Stream,-76.6936944,38.9559167,USGS Maryland Water Science Center
"NORTH BRANCH POTOMAC RIVER NEAR KEMPTON, MD",Stream,-79.4339167,39.22275,USGS Maryland Water Science Center
"ELK RUN AT HENRY, WV",Stream,-79.4256944,39.2252222,USGS Maryland Water Science Center
"LAUREL RUN AT DOBBIN RD NEAR WILSON, MD",Stream,-79.4283056,39.2436111,USGS Maryland Water Science Center
"NORTH BRANCH POTOMAC RIVER NEAR WILSON, MD",Stream,-79.4059444,39.2471667,USGS Maryland Water Science Center
"NORTH BRANCH POTOMAC RIVER AT WILSON, MD",Stream,-79.3986592,39.2534394,USGS Maryland Water Science Center
"SAND RUN NEAR WILSON, MD",Stream,-79.4002778,39.2550833,USGS Maryland Water Science Center
"SHIELDS RUN NEAR BAYARD, WV",Stream,-79.379,39.2718056,USGS Maryland Water Science Center
"BUFFALO CREEK AT BAYARD, WV",Stream,-79.3658792,39.2731603,USGS Maryland Water Science Center
"UNNMD TRIB TO NORTH BRANCH POTOMAC R AT GORMAN, MD",Stream,-79.3523889,39.28425,USGS Maryland Water Science Center
"NORTH BRANCH POTOMAC RIVER AT GORMAN, MD",Stream,-79.3508611,39.2853056,USGS Maryland Water Science Center
"NORTH BRANCH POTOMAC RIVER AT STEYER, MD",Stream,-79.3068889,39.3018889,USGS Maryland Water Science Center
"ABRAM CREEK AT OAKMONT, WV",Stream,-79.1789245,39.3667657,USGS West Virginia Water Science Center
"PATTERSON CREEK NEAR HEADSVILLE, WV",Stream,-78.8219649,39.4431495,USGS West Virginia Water Science Center
"SOUTH BRANCH POTOMAC RIVER NEAR MOOREFIELD, WV",Stream,-78.9593056,39.1039167,USGS West Virginia Water Science Center
"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",Stream,-78.6541817,39.4470388,USGS West Virginia Water Science Center
"Sideling Hill Creek near Barnes Gap,PA",Stream,-78.3463889,39.7325,USGS Pennsylvania Water Science Center
"CACAPON RIVER NEAR GREAT CACAPON, WV",Stream,-78.3097312,39.5823158,USGS West Virginia Water Science Center
"WARM SPRINGS RUN NEAR BERKELEY SPRINGS, WV",Stream,-78.2189444,39.6405833,USGS West Virginia Water Science Center
"BACK CREEK NEAR JONES SPRINGS, WV",Stream,-78.0372224,39.5120419,USGS West Virginia Water Science Center
"Carbaugh Run near Caledonia Park, PA",Stream,-77.4511389,39.8973889,USGS Pennsylvania Water Science Center
"UT to Dennis Cr, Site SW-U, nr Chambersburg,PA",Stream,-77.7456111,40.0200278,USGS Pennsylvania Water Science Center
"Dennis Creek, Site SW1D, nr Chambersburg, PA",Stream,-77.7448889,40.0151667,USGS Pennsylvania Water Science Center
"UT to Dennis Creek,Site SW-2D, nr Chambersburg,PA",Stream,-77.7445833,40.0150278,USGS Pennsylvania Water Science Center
"Dennis Creek, Site SW-3D near Chambersburg, PA",Stream,-77.7461111,40.0138611,USGS Pennsylvania Water Science Center
"Back Cr nr Letterkenny Army Depot, PA",Stream,-77.7414611,39.9944,USGS Pennsylvania Water Science Center
"Back Creek at Cheesetown, PA",Stream,-77.7408111,39.9933194,USGS Pennsylvania Water Science Center
"Back Creek nr Kensington Heights, PA",Stream,-77.7485,39.9928694,USGS Pennsylvania Water Science Center
"UT to Rocky Spring Branch at Letterkenny AD, PA",Stream,-77.7261,40.0020889,USGS Pennsylvania Water Science Center
"UT to Rocky Spr Br (ab pond) nr Cheesetown, PA",Stream,-77.7226111,40,USGS Pennsylvania Water Science Center
"UT to Rocky Sp Br (bl pond) nr Upper Strasburg,PA",Stream,-77.7217194,40.0007611,USGS Pennsylvania Water Science Center
