Id,Code,Name,NameLong,Description,Lat,Long,Cbseg,Datum,CityCounty,Fips,Huc12,Huc6Name,State,Tidal,WaterBody,Comments,Status,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,StationSamplingMethodId
149,NWA.MANA4,MANA4,Lewis Wharf,Private dock,38.4152,-75.85,,NAD83,Dorchester County,24019,020801090504,Lower Chesapeake,Maryland,TRUE,Barren Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,96e7511e-704d-4790-aeae-f5a0043edf31,2017-09-25T16:32:24.11Z,,Nanticoke Watershed Alliance
150,NWA.MANA5,MANA5,Bivalve Wharf,Public dock,38.3096,-75.8929,,NAD83,Wicomico County,24045,020801090505,Lower Chesapeake,Maryland,TRUE,Wetipquin Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
151,NWA.MANA6,MANA6,Nanticoke Harbor,Private dock,38.2712,-75.9092,,NAD83,Wicomico County,24045,020801090505,Lower Chesapeake,Maryland,TRUE,Wetipquin Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
152,NWA.COBR1,COBR1,Seaford Canoe Launch,Public dock,38.6422,-75.6068,,NAD83,Sussex County,10005,020801090404,Lower Chesapeake,Delaware,TRUE,Clear Brook-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
153,NWA.COBR2,COBR2,Bridgeville Hwy,Pond exit prior to spillway; currently reconstructing dam,38.6792,-75.5931,,NAD83,Sussex County,10005,020801090404,Lower Chesapeake,Delaware,FALSE,Clear Brook-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
154,NWA.COBR3,COBR3,Conrail Rd.,Temporary until COBR2 is accessible again,38.6916,-75.5995,,NAD83,Sussex County,10005,020801090404,Lower Chesapeake,Delaware,FALSE,Clear Brook-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
155,NWA.DECR3,DECR3,Old Meadow Rd.,Private dock,38.644607,-75.579428,,NAD83,Sussex County,10005,020801090102,Lower Chesapeake,Delaware,TRUE,Lower Deep Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
156,NWA.DECR2,DECR2,Old Furnace Rd,Bridge,38.6659,-75.5146,,NAD83,Sussex County,10005,020801090102,Lower Chesapeake,Delaware,FALSE,Lower Deep Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
157,NWA.GRBR1,GRBR1,Coverdale Rd,Bridge,38.6871,-75.5481,,NAD83,Sussex County,10005,020801090403,Lower Chesapeake,Delaware,FALSE,Gravelly Branch,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
158,NWA.BRCR1,BRCR1,Phillips Landing,Public dock,38.5645,-75.6723,,NAD83,Sussex County,10005,020801090205,Lower Chesapeake,Delaware,TRUE,Tussocky Branch-Broad Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
159,NWA.BRCR2,BRCR2,Bethel Dock,Town dock,38.5674,-75.6211,,NAD83,Sussex County,10005,020801090205,Lower Chesapeake,Delaware,TRUE,Tussocky Branch-Broad Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
160,NWA.BRCR3,BRCR3,Laurel Dock,Bridge,38.5583,-75.5696,,NAD83,Sussex County,10005,020801090204,Lower Chesapeake,Delaware,TRUE,Little Creek-Broad Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
161,NWA.JABR1,JABR1,James Branch,Private platform,38.5546,-75.5394,,NAD83,Sussex County,10005,020801090202,Lower Chesapeake,Delaware,FALSE,James Branch,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
162,NWA.MAHO5,MAHO5,Henson Scout Reservation,Boy Scout dock,38.545,-75.7627,,NAD83,Dorchester County,24019,020801090307,Lower Chesapeake,Maryland,TRUE,Stony Bar Creek-Marshyhope Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
163,NWA.MAHO6,MAHO6,River Rd.,Private dock,38.6613,-75.78982,,NAD83,Dorchester County,24019,020801090306,Lower Chesapeake,Maryland,TRUE,Puckum Branch-Marshyhope Creek,Potential new site,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
164,NWA.MAHO2,MAHO2,Federalsburg Marina,Public dock,38.6882,-75.7701,,NAD83,Caroline County,24011,020801090305,Lower Chesapeake,Maryland,TRUE,Faulkner Branch-Marshyhope Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
165,NWA.MAHO3,MAHO3,Noble Road,Bridge,38.7627,-75.723,,NAD83,Caroline County,24011,020801090303,Lower Chesapeake,Maryland,FALSE,Tommy Wright Branch-Marshyhope Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
166,NWA.BACR2,BACR2,Mardela Springs Boat Ramp,Bridge,38.4555,-75.7569,,NAD83,Wicomico County,24045,020801090504,Lower Chesapeake,Maryland,TRUE,Barren Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-04T13:13:21.647Z,,Nanticoke Watershed Alliance
167,NWA.RECR1,RECR1,Rewastico Creek,Private dock,38.4016,-75.7905,,NAD83,Wicomico County,24045,020801090502,Lower Chesapeake,Maryland,TRUE,Rewastico Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
168,NWA.RECR2c,RECR2C,Rewastico Pond Creek,Bridge ,38.4106,-75.7544,,NAD83,Wicomico County,24045,020801090502,Lower Chesapeake,Maryland,TRUE,Rewastico Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
169,NWA.RECR2p,RECR2P,Rewastico Pond,Launch from canoe/row boat,38.4106,-75.7544,,NAD83,Wicomico County,24045,020801090502,Lower Chesapeake,Maryland,FALSE,Rewastico Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
170,NWA.QUCR1,QUCR1,Quantico Creek,Bridge,38.3664,-75.7722,,NAD83,Wicomico County,24045,020801090503,Lower Chesapeake,Maryland,TRUE,Quantico Creek,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
171,NWA.TYCR1,TYCR1,Tyaskin Creek,Bridge,38.320059,-75.859137,,NAD83,Wicomico County,24045,020801090505,Lower Chesapeake,Maryland,TRUE,Wetipquin Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
172,NWA.WECR1,WECR1,Wetipquin Boat Ramp,Bridge; very high; deep; swift,38.3267,-75.8665,,NAD83,Wicomico County,24045,020801090505,Lower Chesapeake,Maryland,TRUE,Wetipquin Creek-Nanticoke River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
173,NWA.CHIC1,CHIC1,Chicamicomico HW,Private,38.5134,-75.8796,,NAD83,Dorchester County,24019,020801100102,Lower Chesapeake,Maryland,TRUE,Chicamacomico River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
174,NWA.TRAN1,TRAN1,Transquaking HW,Tricky to get to,38.5508,-75.9528,,NAD83,Dorchester County,24019,020801100101,Lower Chesapeake,Maryland,FALSE,Middletown Branch-Transquaking River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
175,NWA.LIBL1,LIBL1,Little Blackwater 1,Bridge,38.54619,-76.08297,,NAD83,Dorchester County,24019,020801100202,Lower Chesapeake,Maryland,FALSE,Little Blackwater River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
176,NWA.LIBL4,LIBL4,Little Blackwater 4,Bridge,38.51675,-76.0808,,NAD83,Dorchester County,24019,020801100202,Lower Chesapeake,Maryland,TRUE,Little Blackwater River,,TRUE,,1900-01-01T00:00:00Z,,1900-01-01T00:00:00Z,,Nanticoke Watershed Alliance
195,ALLARM.LT1,LT1,LeTort Spring Run 6.51,LeTort Site 1,40.17663,-77.18537,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:49:25.833Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:13:16.587Z,,LeTort Regional Authority
196,ALLARM.LT2,LT2,UNT to LeTort Spring Run 0.01,LeTort Site 2,40.17667,-77.18507,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:51:50.95Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:14:04.437Z,,LeTort Regional Authority
197,ALLARM.LT3,LT3,LeTort Spring Run 6.24,LeTort Site 3,40.17999,-77.18692,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:52:17.867Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:14:21.997Z,,LeTort Regional Authority
198,ALLARM.LT4,LT4,LeTort Spring Run 5.56,LeTort Site 4,40.18844,-77.18606,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:52:47.687Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:14:54.017Z,,LeTort Regional Authority
199,ALLARM.LT5,LT5,LeTort Spring Run 5.05,LeTort Site 5,40.19528,-77.18423,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:53:12.367Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:15:36.943Z,,LeTort Regional Authority
200,ALLARM.LT6,LT6,LeTort Spring Run 4.05,LeTort Site 6,40.20792,-77.18104,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:53:34.767Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:15:16.727Z,,LeTort Regional Authority
201,ALLARM.LT7,LT7,LeTort Spring Run 3.05,LeTort Site 7,40.21418,-77.16883,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:54:02.047Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:15:59.227Z,,LeTort Regional Authority
202,ALLARM.LT8,LT8,LeTort Spring Run 2.34,LeTort Site 8,40.21847,-77.16003,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:54:29.167Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:16:18.807Z,,LeTort Regional Authority
203,ALLARM.LT9,LT9,LeTort Spring Run 1.53,LeTort Site 9,40.22429,-77.14928,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:54:58.743Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:16:35.497Z,,LeTort Regional Authority
204,ALLARM.LT10,LT10,LeTort Spring Run 0.04,LeTort Site 10,40.23487,-77.14193,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:55:21.23Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:13:37.193Z,,LeTort Regional Authority
205,ALLARM.MG1,MG1,Molly Grub 0.02,Molly Grub 1,40.19568,-77.18767,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:55:48.767Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:16:55.763Z,,LeTort Regional Authority
206,ALLARM.MG2,MG2,Molly Grub 0.18,Molly Grub 2,40.19608,-77.18518,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:56:12.063Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:17:13.703Z,,LeTort Regional Authority
207,ALLARM.WL,WL,Mully Grub Wetland 0.15,Wetland,40.19588,-77.18745,,NAD83,Cumberland County,42041,020503050404,Lower Susquehanna,Pennsylvania,FALSE,Letort Spring Run,,TRUE,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2017-08-25T15:56:29.52Z,81381e80-f4cb-4ead-a07d-c2ef5d2a4e00,2018-07-16T19:17:35.753Z,,LeTort Regional Authority
223,BCC.Site1,s1,Mouth of Back Creek,,38.9695,-76.4711,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:07:05.453Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:28:45.877Z,,Back Creek Conservancy
224,BCC.Site2,s2,Entrance of Back Creek,,38.9678,-76.4758,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:08:05.977Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:31:34.507Z,,Back Creek Conservancy
225,BCC.Site3,s3,Middle of Back Creek,,38.9665,-76.4788,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:08:52.473Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:31:22.073Z,,Back Creek Conservancy
226,BCC.Site4,s4,Conservation Easement,,38.966,-76.483,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:11:49.28Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:31:12.537Z,,Back Creek Conservancy
227,BCC.Site5,s5,Middle of Back Creek,,38.964,-76.4811,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:12:34.783Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:30:59.533Z,,Back Creek Conservancy
228,BCC.Site6,s6,Large Bulkhead Area,,38.9632,-76.4844,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:13:14.353Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:30:46.837Z,,Back Creek Conservancy
229,BCC.Site7,s7,Downstream Creek,,38.9618,-76.4841,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:14:35.137Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:30:34.603Z,,Back Creek Conservancy
230,BCC.Site8,s8,Living Shoreline,,38.9589,-76.4844,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:15:40.803Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:30:23.293Z,,Back Creek Conservancy
231,BCC.Site9,s9,Back Creek Headwaters,,38.9576,-76.4846,,NAD83,Anne Arundel County,24003,020600040203,Upper Chesapeake,Maryland,TRUE,Whitehall Creek-Severn River-Chesapeake Bay,,TRUE,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-12T19:16:23.95Z,a39c6bad-a96b-4758-be8b-bfa49d1f6985,2017-09-29T13:29:50.17Z,,Back Creek Conservancy
232,PVMN.DC2,DC2,Deep Creek,,37.35,-76.5414,,NAD83,Gloucester County,51073,020801070203,Lower Chesapeake,Virginia,TRUE,Carter Creek-York River,"AT Warwick Yacht Club boat ramp, left side",TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:27:59.727Z,aff0ab2c-0ecf-4134-a169-abcfbbf9d5fa,2017-10-31T17:59:13.003Z,8,Peninsula Chapter Virginia Master Naturalists
233,PVMN.HB1,HB1,James River,,37.02821,-76.46536,,NAD83,Newport News city,51700,020802060906,James,Virginia,TRUE,Cooper Creek-James River,At fishing pier near the shoreline,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:28:47.887Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2019-01-04T19:12:17.137Z,5,Peninsula Chapter Virginia Master Naturalists
234,PVMN.HC2,HC2,Hampton River,,37.02014,-76.34401,,NAD83,Hampton city,51650,020802080303,James,Virginia,TRUE,Hampton River-Hampton Roads,At Hampton Yacht Club at end of pier,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:30:14.427Z,aff0ab2c-0ecf-4134-a169-abcfbbf9d5fa,2017-10-31T16:18:38.127Z,,Peninsula Chapter Virginia Master Naturalists
235,PVMN.JR2,JR2,James River,Floating Pier on the James River Pier,37.01268,-76.45728,,NAD83,Newport News city,51700,020802060906,James,Virginia,TRUE,Cooper Creek-James River,At James River Fishing Pier,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:30:54.113Z,aff0ab2c-0ecf-4134-a169-abcfbbf9d5fa,2018-05-26T11:18:20.453Z,8,Peninsula Chapter Virginia Master Naturalists
236,PVMN.RB1,RB1,James River,Riverside Beach on JR,37.04684,-76.4991,,NAD83,Newport News city,51700,020802060906,James,Virginia,TRUE,Cooper Creek-James River,At Riverside Beach,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:31:26.527Z,aff0ab2c-0ecf-4134-a169-abcfbbf9d5fa,2018-06-29T20:34:37.813Z,5,Peninsula Chapter Virginia Master Naturalists
238,PVMN.WR1,WR1,Warwick River,,37.12372,-76.56867,,NAD83,Newport News city,51700,020802060901,James,Virginia,TRUE,Warwick River,Left dock of boat ramp at end of Denbigh Boulevard,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:32:33.327Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-09-19T14:33:37.467Z,,Peninsula Chapter Virginia Master Naturalists
242,ACB.PRC01,PRC01,Princeton Creek,,37.59697,-77.46902,,NAD83,Richmond city,51760,020802060403,James,Virginia,FALSE,Upham Brook,,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-11T13:54:08.85Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2018-12-07T15:12:46.61Z,7,Alliance for the Chesapeake Bay; Riverine Master Naturalists
243,ACB.PRC02,PRC02,Princeton Creek at Acca Temple,,37.59365,-77.46709,,NAD83,Richmond city,51760,020802060403,James,Virginia,FALSE,Upham Brook,,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-11T13:54:49.563Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-11T13:54:49.563Z,7,Alliance for the Chesapeake Bay
244,ACB.PRC03,PRC03,Princeton Creek at 1618 Princeton Road,,37.5943959,-77.4640283,,NAD83,Richmond city,51760,020802060403,James,Virginia,FALSE,Upham Brook,Backyard of 1618 Princeton Road,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-11T13:55:38.307Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-11T13:55:38.307Z,7,Alliance for the Chesapeake Bay
245,ACB.CR1,CR1,,ROCKY BRANCH,37.6251,-77.4942,,NAD83,Henrico County,51087,020802060403,James,Virginia,FALSE,Upham Brook,,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:13.877Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:13.877Z,,Alliance for the Chesapeake Bay
246,ACB.GC,GC,,Grindall Creek,37.46921,-77.45798,,NAD83,Richmond city,51760,020802060102,James,Virginia,FALSE,Falling Creek,,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.297Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.297Z,,Alliance for the Chesapeake Bay
247,ACB.GIL02,GIL02,,Gillies Creek a split with Stoney Run,37.5278854,-77.3928452,,NAD83,Richmond city,51760,020802060101,James,Virginia,FALSE,Almond Creek-James River,Utility road just south of Jennie Scher Rd.,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.297Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.297Z,,Alliance for the Chesapeake Bay
248,ACB.GIL03,GIL03,,Gillies Creek by Stone Brewery,37.522728,-77.416358,,NAD83,Richmond city,51760,020802060101,James,Virginia,FALSE,Almond Creek-James River,Park at Stone Brewing and follow trail entrance under the train bridge.,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.33Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2018-01-19T21:43:43.77Z,,Alliance for the Chesapeake Bay
249,ACB.GP1,GP1,,GATLING POINT ISLE OF WIGHT,36.9952984,-76.5824258,,NAD83,Isle of Wight County,51093,020802060904,James,Virginia,FALSE,Jones Creek-Pagan River,COLLECTION FROM A PIER AT THE GATLING POINT YACHT CLUB ON MARINA ROAD,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.33Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.33Z,,Alliance for the Chesapeake Bay
250,ACB.JOR1,JOR1,,JORDANS BRANCH,37.597255,-77.473902,,NAD83,Richmond city,51760,020802060403,James,Virginia,FALSE,Upham Brook,Same site as JB1,TRUE,2473b5dc-f75b-47ea-a902-869bb804c21a,2017-10-16T16:21:14.343Z,2473b5dc-f75b-47ea-a902-869bb804c21a,2018-02-20T21:05:43.977Z,,Alliance for the Chesapeake Bay; Riverine Master Naturalists
